Modelos,Accuracy,Precision,Recall,AUC
CNN,0.9899,0.9899201529794982,0.9899,0.9999406630235693
BNN Global,0.9852,0.9853227766515529,0.9852,0.9998360466949157
BNN Valid,0.9876679366352517,0.9877084141369502,0.9876679366352517,0.9998360466949157
BNN Invalid,0.038461538461538464,0.0014792899408284025,0.038461538461538464,0.8792599912165129
