Modelos,Accuracy,Precision,Recall,AUC
CNN,0.4888,0.497157367822535,0.4888,0.8686337763616065
BNN Global,0.3358,0.41481080569129397,0.3358,0.7961026038271413
BNN Valid,0.4188453159041394,0.44536142172278764,0.4188453159041394,0.7961026038271413
BNN Invalid,0.10617469879518072,0.011273066664247352,0.10617469879518072,0.7300999686631592
DT,0.1294,0.131241,0.130694,0.517032
RF,0.1615,0.17378,0.162434,0.589735
