Modelos,Accuracy,Precision,Recall,AUC
CNN,0.9544,0.9547930897160397,0.9544,0.9986011029751655
BNN Global,0.9536,0.9562034093270897,0.9536,0.998890451840404
BNN Valid,0.9680073126142597,0.9686925240689039,0.9680073126142597,0.998890451840404
BNN Invalid,0.032467532467532464,0.0010541406645302748,0.032467532467532464,0.9181553153185185
