Modelos,Accuracy,Precision,Recall,AUC
CNN,0.8712,0.9054037921318222,0.8712,0.9972478477947446
BNN Global,0.7768,0.8640368346983603,0.7768,0.9865986189220429
BNN Valid,0.8161235717308506,0.8910683081051645,0.8161235717308506,0.9865986189220429
BNN Invalid,0.09854014598540146,0.009710160370824231,0.09854014598540146,0.9093124806739741
DT,0.8859,0.888212,0.529151,0.604084
RF,0.706,0.721806,0.287279,0.604084
